Date and time,Wind speed (m/s)
1/1/2021 0:00,6.204656243
1/1/2021 0:10,5.858887553
1/1/2021 0:20,6.069037509
1/1/2021 0:30,5.918868709
1/1/2021 0:40,5.408306193
1/1/2021 0:50,5.58616879
1/1/2021 1:00,5.628958305
1/1/2021 1:10,5.722087455
1/1/2021 1:20,5.302049983
1/1/2021 1:30,5.434406233
1/1/2021 1:40,5.625393701
1/1/2021 1:50,6.053043747
1/1/2021 2:00,6.054513153
1/1/2021 2:10,5.928600049
1/1/2021 2:20,5.850300097
1/1/2021 2:30,6.389962482
1/1/2021 2:40,6.308793855
1/1/2021 2:50,6.71396265
1/1/2021 3:00,6.837088192
1/1/2021 3:10,6.240262604
1/1/2021 3:20,5.912006259
1/1/2021 3:30,5.325524926
1/1/2021 3:40,4.728618777
1/1/2021 3:50,5.194068813
1/1/2021 4:00,5.079618669
1/1/2021 4:10,4.866600001
1/1/2021 4:20,4.540125012
1/1/2021 4:30,4.533993721
1/1/2021 4:40,5.834137511
1/1/2021 4:50,5.649356318
1/1/2021 5:00,6.185325098
1/1/2021 5:10,6.045637441
1/1/2021 5:20,5.834774995
1/1/2021 5:30,5.989368796
1/1/2021 5:40,5.88620621
1/1/2021 5:50,6.329418826
1/1/2021 6:00,6.377999973
1/1/2021 6:10,6.424349904
1/1/2021 6:20,6.106706333
1/1/2021 6:30,5.973974991
1/1/2021 6:40,6.188493752
1/1/2021 6:50,6.463650084
1/1/2021 7:00,6.356999946
1/1/2021 7:10,6.583349991
1/1/2021 7:20,6.802631259
1/1/2021 7:30,6.054168773
1/1/2021 7:40,5.659200144
1/1/2021 7:50,5.979731297
1/1/2021 8:00,6.275051425
1/1/2021 8:10,6.001574945
1/1/2021 8:20,5.002950048
1/1/2021 8:30,5.370337486
1/1/2021 8:40,5.648550034
1/1/2021 8:50,6.122737479
1/1/2021 9:00,6.389381266
1/1/2021 9:10,6.536568666
1/1/2021 9:20,6.681993747
1/1/2021 9:30,6.763424969
1/1/2021 9:40,6.332812399
